./sn 100 10,0.00
./sn 100 100,0.00
./sn 1000 10,0.00
./sn 1000 100,0.00
./sn 1000 1000,0.00
./sn 10000 10,0.00
./sn 10000 100,0.00
./sn 10000 1000,0.00
./sn 10000 10000,0.00
./sn 100000 10,0.01
./sn 100000 100,0.00
./sn 100000 1000,0.00
./sn 100000 10000,0.00
./sn 100000 100000,0.01
./sn 1000000 10,0.19
./sn 1000000 100,0.09
./sn 1000000 1000,0.07
./sn 1000000 10000,0.07
./sn 1000000 100000,0.07
./sn 1000000 1000000,0.07
./sn 10000000 10,3.41
./sn 10000000 100,1.14
./sn 10000000 1000,0.79
./sn 10000000 10000,0.75
./sn 10000000 100000,0.74
./sn 10000000 1000000,0.81
./sn 10000000 10000000,1.56
./sn 100000000 10,86.96
./sn 100000000 100,17.71
./sn 100000000 1000,9.28
./sn 100000000 10000,8.09
./sn 100000000 100000,7.93
./sn 100000000 1000000,8.26
./sn 100000000 10000000,16.62
./sn 100000000 100000000,17.95

--------------------------------------

./sn 100000000 1000,9.36
./sn 100000000 10000,7.87
./sn 100000000 100000,8.04
./sn 100000000 1000000,8.40
./sn 100000000 10000000,16.74
./sn 100000000 100000000,17.94
./sn 1000000000 1000,123.75
./sn 1000000000 10000,87.69
./sn 1000000000 100000,83.33
./sn 1000000000 1000000,87.75
./sn 1000000000 10000000,183.40
./sn 1000000000 100000000,203.31

--------------------------------------

./sn 1000000000 100000,86.41
./sn 10000000000 100000,878.72

--------------------------------------

./sn 1000000000 100000,30.92
./sn 10000000000 100000,346.20
./sn 100000000000 100000,3972.44
